data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2021-05-30 02:00:54.782021;2035;AUTO VIACAO PRESIDENTE VARGAS LTDA;IRQ0597;M. BENZ;O-500M;2011-02-19;2010;DIESEL
2021-05-30 02:00:54.782021;2064;AUTO VIACAO PRESIDENTE VARGAS LTDA;ISN2827;M. BENZ;OF 1722;2011-11-25;2011;DIESEL
2021-05-30 02:00:54.782021;6753;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IXC1146;M. BENZ;O-500M;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;6754;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IXC1219;M. BENZ;O-500M;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;6807;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;ITU4750;M. BENZ;OF 1721;2012-12-04;2012;DIESEL
2021-05-30 02:00:54.782021;6738;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IUL5450;M. BENZ;O-500M;2013-06-28;2012;DIESEL
2021-05-30 02:00:54.782021;6772;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IYW2067;M. BENZ;OF 1721;2018-10-29;2018;DIESEL
2021-05-30 02:00:54.782021;3058;SUDESTE TRANSPORTES COLETIVOS LTDA;IPE8369;M. BENZ;OF 1722M;2008-10-02;2008;DIESEL
2021-05-30 02:00:54.782021;4014;EMPRESA DE TRANSPORTES GASÔMETRO S.A.;ITU0053;M. BENZ;O500MA;2012-11-29;2012;DIESEL
2021-05-30 02:00:54.782021;6127;AUTO VIACAO NAVEGANTES LTDA;IZO5J14;M. BENZ;OF 1721L;2019-09-25;2019;DIESEL
2021-05-30 02:00:54.782021;6612;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IXC1161;M. BENZ;OF 1721;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;6627;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IXC0914;M. BENZ;OF 1721;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;6648;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IQY1419;M. BENZ;O-500M;2010-07-14;2010;DIESEL
2021-05-30 02:00:54.782021;6651;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IOX3296;M. BENZ;OF 1722M;2008-07-16;2008;DIESEL
2021-05-30 02:00:54.782021;6718;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IRZ5421;M. BENZ;O-500M;2011-06-22;2011;DIESEL
2021-05-30 02:00:54.782021;3125;SUDESTE TRANSPORTES COLETIVOS LTDA;ITV0872;M. BENZ;O-500M;2012-12-08;2012;DIESEL
2021-05-30 02:00:54.782021;3113;SUDESTE TRANSPORTES COLETIVOS LTDA;ISO4274;M. BENZ;O-500M;2011-12-09;2011;DIESEL
2021-05-30 02:00:54.782021;1037;TRANSPORTES COLETIVOS TREVO LTDA;IRL7267;M. BENZ;OF 1722M;2010-12-21;2010;DIESEL
2021-05-30 02:00:54.782021;1005;TRANSPORTES COLETIVOS TREVO LTDA;IRJ5348;M. BENZ;OF 1722M;2010-12-01;2010;DIESEL
2021-05-30 02:00:54.782021;1137;TRANSPORTES COLETIVOS TREVO LTDA;IXB9598;M. BENZ;O500MA;2016-02-11;2015;DIESEL
